"Year","Make","Model","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"1990","Eagle","Summit","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9524","aq9pi"
"1992","Eagle","Eagle Vista","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9523","likd0"
"1991","Eagle","Eagle Vista","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9522","rjphb"
"1993","Eagle","Summit Wagon","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9551","m00ye"
"2017","Buick","Verano","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9560","18g2u"
"2016","Buick","Verano","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9559","w9jkq"
"2015","Buick","Verano","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9558","bn3ee"
"2014","Buick","Verano","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9557","oy0kw"
"2013","Buick","Verano","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9556","17t8g"
"2012","Buick","Verano","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9555","56v36"
"1996","Eagle","Summit Wagon","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9554","muntb"
"1995","Eagle","Summit Wagon","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9553","xvztn"
"1994","Eagle","Summit Wagon","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9552","a3lbt"
"1992","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9541","tumx0"
"1992","Eagle","Summit Wagon","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9550","eyc7v"
"1991","Eagle","Vista Wagon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9549","mpt21"
"1990","Eagle","Vista Wagon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9548","p1arj"
"1998","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9547","3qo3l"
"1997","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9546","tz2g3"
"1996","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9545","2k460"
"1995","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9544","d0s11"
"1994","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9543","lzlws"
"1993","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9542","f4lru"
"1996","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9571","ia2hv"
"1996","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9580","c7q49"
"1995","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9579","19d60"
"1994","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9578","4kp09"
"1993","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9577","e1ggt"
"1992","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9576","u7stw"
"1991","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9575","10jwj"
"1990","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9574","8ne2g"
"1998","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9573","n6g97"
"1997","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9572","5hqql"
"2016","Buick","Cascada","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9561","9hgk6"
"1995","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9570","8t3i4"
"1994","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9569","zilwg"
"1993","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9568","50e64a"
"1992","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9567","jf7we"
"1991","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9566","c5oye"
"1990","Buick","Skylark","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9565","rt4tn"
"2019","Buick","Cascada","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9564","istxo"
"2018","Buick","Cascada","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9563","973j5"
"2017","Buick","Cascada","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9562","lmcrw"
"1991","Buick","Regal","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9591","py0x5"
"2000","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9600","mo9pu"
"1999","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9599","d0snm"
"1998","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9598","b2dfw"
"1997","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9597","71ry8"
"1996","Buick","Regal","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9596","16qy"
"1995","Buick","Regal","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9595","xqcuy"
"1994","Buick","Regal","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9594","olv4m"
"1993","Buick","Regal","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9593","qcf10"
"1992","Buick","Regal","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9592","nuhle"
"1997","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9581","upgir"
"1990","Buick","Regal","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9590","twmke"
"2005","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9589","2cdv"
"2004","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9588","g4oas"
"2003","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9587","y1d2a"
"2002","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9586","ujrng"
"2001","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9585","yey0x"
"2000","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9584","uvwx5"
"1999","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9583","cj2h1"
"1998","Buick","Century","2023-06-03 14:18:08","2023-06-03 14:18:08","mkes99","mkes99","0","98.48.215.196","9582","qi40h"
"2011","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9611","5cof3"
"2011","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9620","dcpi1"
"2019","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9619","kejtz"
"2018","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9618","76rdt"
"2017","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9617","murov"
"2016","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9616","uxtct"
"2015","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9615","i2a07"
"2014","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9614","krak1"
"2013","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9613","otj6i"
"2012","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9612","mvki2"
"2001","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9601","c9js5"
"2010","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9610","hrmj9"
"2009","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9609","z7mtq"
"2008","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9608","8jvt1"
"2007","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9607","j1gz2"
"2006","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9606","zcsei"
"2005","Buick","LaCrosse","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9605","7taja"
"2004","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9604","fj9ga"
"2003","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9603","dc74z"
"2002","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9602","3hp6x"
"1991","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9631","sdsq1"
"2000","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9640","jd8w9"
"1999","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9639","ghxj7"
"1998","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9638","jcz91"
"1997","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9637","3n60u"
"1996","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9636","xrgbh"
"1995","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9635","rw4c7"
"1994","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9634","vnp1a"
"1993","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9633","ttnb"
"1992","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9632","shvyk"
"2012","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9621","3sz6c"
"1990","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9630","s95r6"
"2020","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9629","10fnp"
"2019","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9628","mw1w5"
"2018","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9627","cgi2o"
"2017","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9626","nf2zc"
"2016","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9625","4pai2"
"2015","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9624","krwpq"
"2014","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9623","74gah"
"2013","Buick","Regal","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9622","axbp6"
"2011","Buick","Lucerne","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9651","egi28"
"1998","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9660","9edlt"
"1997","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9659","7f165"
"1996","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9658","vbaar"
"1995","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9657","4ftdo"
"1994","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9656","6zush"
"1993","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9655","kxmvh"
"1992","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9654","5rtou"
"1991","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9653","araml"
"1990","Buick","Electra","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9652","znnzh"
"2001","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9641","tut6o"
"2010","Buick","Lucerne","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9650","gppzg"
"2009","Buick","Lucerne","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9649","sv3wu"
"2008","Buick","Lucerne","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9648","anhbr"
"2007","Buick","Lucerne","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9647","ifjlu"
"2006","Buick","Lucerne","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9646","f6ba4"
"2005","Buick","LeSabre","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9645","bxsju"
"2004","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9644","ftk63"
"2003","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9643","9q42g"
"2002","Buick","LeSabre","2023-06-03 14:18:09","2023-06-03 14:18:09","mkes99","mkes99","0","98.48.215.196","9642","mml6"
"1993","Buick","Roadmaster","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9671","utdej"
"1996","Buick","Roadmaster Estate","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9680","pvvau"
"1995","Buick","Roadmaster Estate","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9679","ovz0s"
"1994","Buick","Roadmaster Estate","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9678","zgxcw"
"1993","Buick","Roadmaster Estate","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9677","gzerr"
"1992","Buick","Roadmaster Estate","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9676","oxuo"
"1991","Buick","Roadmaster Estate","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9675","fbn5z"
"1996","Buick","Roadmaster","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9674","ud7xd"
"1995","Buick","Roadmaster","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9673","84t7b"
"1994","Buick","Roadmaster","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9672","ce1ww"
"1999","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9661","h6qj"
"1992","Buick","Roadmaster","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9670","rvra2"
"1991","Buick","Roadmaster","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9669","ml8xf"
"1990","Buick","Estate","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9668","r7qxw"
"2005","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9667","3asfu"
"2004","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9666","4v4mx"
"2003","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9665","8prcp"
"2002","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9664","b5l0c"
"2001","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9663","5wlnw"
"2000","Buick","Park Avenue","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9662","ud5j0"
"1991","Buick","Reatta","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9691","7ve3m"
"2018","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9700","y9ibk"
"2017","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9699","h91io"
"2016","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9698","fi6wr"
"2015","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9697","176ko"
"2014","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9696","nm1zo"
"2013","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9695","xirh1"
"2007","Buick","Terraza","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9694","fct37"
"2006","Buick","Terraza","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9693","c93of"
"2005","Buick","Terraza","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9692","vz6kv"
"1990","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9681","jpph2"
"1990","Buick","Reatta","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9690","9cwag"
"1999","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9689","3pj3s"
"1998","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9688","p40s3"
"1997","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9687","3p33b"
"1996","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9686","vklpq"
"1995","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9685","nn5vf"
"1993","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9684","cjkyf"
"1992","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9683","g8hub"
"1991","Buick","Riviera","2023-06-03 14:18:10","2023-06-03 14:18:10","mkes99","mkes99","0","98.48.215.196","9682","p2u54"
"2017","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9711","7j9nl"
"2002","Buick","Rendezvous","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9720","qbj5k"
"2024","Buick","Envista","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9719","afdv6"
"2024","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9718","21d5m"
"2023","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9717","w9cle"
"2022","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9716","1o1r7"
"2021","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9715","kiysy"
"2020","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9714","dkpik"
"2019","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9713","64xqf"
"2018","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9712","gla55"
"2019","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9701","u4pcv"
"2016","Buick","Envision","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9710","qc3hz"
"2024","Buick","Encore GX","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9709","zif4l"
"2023","Buick","Encore GX","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9708","84cm8"
"2022","Buick","Encore GX","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9707","bn05"
"2021","Buick","Encore GX","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9706","gp2vq"
"2020","Buick","Encore GX","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9705","wtpz1"
"2022","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9704","b7yv5"
"2021","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9703","z72k7"
"2020","Buick","Encore","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9702","cmyjv"
"2009","Buick","Enclave","2023-06-03 14:18:11","2023-06-03 14:18:11","mkes99","mkes99","0","98.48.215.196","9731","55eol"
"2018","Buick","Enclave","2023-06-03 14:18:12","2023-06-03 14:18:12","mkes99","mkes99","0","98.48.215.196","9740","mxj61"
